Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SGMS,Scientific Games Corp,20.2,1877055750.4,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/sgms
EGBN,"Eagle Bancorp, Inc.",54.1,1868631257.9,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/egbn
MDRX,"Allscripts Healthcare Solutions, Inc.",11.2,1864107000,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
VRNS,"Varonis Systems, Inc.",61.23,1852630293.15,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vrns
PTLA,"Portola Pharmaceuticals, Inc.",27.15,1849177920.6,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptla
BANF,BancFirst Corporation,56.36,1838834499.68,n/a,1993,Finance,Major Banks,https://www.nasdaq.com/symbol/banf
LPSN,"LivePerson, Inc.",28.27,1833193197.22,n/a,2000,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/lpsn
VNOM,Viper Energy Partners LP,29.25,1831879442.25,n/a,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vnom
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,50.92,1825482000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/slqd
NWBI,"Northwest Bancshares, Inc.",17.15,1822218610.1,n/a,2009,Finance,Major Banks,https://www.nasdaq.com/symbol/nwbi
BLDR,"Builders FirstSource, Inc.",15.71,1816191672.73,n/a,2005,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bldr
FRPT,"Freshpet, Inc.",50.6,1815339009,n/a,2014,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/frpt
EHTH,"eHealth, Inc.",80.05,1813057813.35,n/a,2006,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ehth
ANAB,"AnaptysBio, Inc.",67.02,1811130049.5,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab
FRME,First Merchants Corporation,36.39,1807489043.82,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/frme
ABCB,Ameris Bancorp,37.96,1806338329.64,n/a,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
PCRX,"Pacira BioSciences, Inc.",43.68,1803850208.16,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pcrx
BAND,Bandwidth Inc.,78.38,1802775819.66,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/band
BOLD,"Audentes Therapeutics, Inc.",40.68,1801735831.44,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bold
TWNK,"Hostess Brands, Inc.",13.82,1800768471.32,n/a,2015,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/twnk
SCPL,SciPlay Corporation,14.1,1790516996.1,n/a,2019,Technology,EDP Services,https://www.nasdaq.com/symbol/scpl
BGCP,"BGC Partners, Inc.",5.24,1786263825.32,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/bgcp
SFBS,"ServisFirst Bancshares, Inc.",33.21,1777106354.22,n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/sfbs
NTRA,"Natera, Inc.",25.4,1767875534.6,n/a,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ntra
ENTA,"Enanta Pharmaceuticals, Inc.",89.54,1761227266.04,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/enta
MYGN,"Myriad Genetics, Inc.",23.94,1756560225.42,n/a,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/mygn
IRWD,"Ironwood Pharmaceuticals, Inc.",11.27,1753852107.35,n/a,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/irwd
CORE,"Core-Mark Holding Company, Inc.",37.88,1737639769.36,n/a,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/core
ZGNX,"Zogenix, Inc.",40.91,1736474860.2,n/a,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zgnx
SFLY,"Shutterfly, Inc.",50.54,1733513863.06,n/a,2006,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/sfly
BEAT,"BioTelemetry, Inc.",51.13,1728385021.68,n/a,2008,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/beat
MANT,ManTech International Corporation,64.7,1727040982,n/a,2002,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/mant
CLBK,"Columbia Financial, Inc.",14.89,1725589815.75,n/a,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/clbk
AMKR,"Amkor Technology, Inc.",7.19,1722918913.71,n/a,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
CVGW,"Calavo Growers, Inc.",97.87,1722485966.58,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw
TCDA,"Tricida, Inc.",34.92,1715977774.44,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tcda
UPWK,Upwork Inc.,15.97,1711350933.23,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/upwk
DIOD,Diodes Incorporated,33.78,1709739467.46,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/diod
USMC,Principal U.S. Mega-Cap Multi-Factor Index ETF,29.25,1705275029.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usmc
RDFN,Redfin Corporation,18.67,1698761997.53,n/a,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/rdfn
FWRD,Forward Air Corporation,58.97,1692202235.45,n/a,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/fwrd
NFE,New Fortress Energy LLC,10.06,1689034725.76,n/a,2019,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nfe
LGIH,"LGI Homes, Inc.",73.55,1686187441.5,n/a,2013,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/lgih
BLMN,"Bloomin&#39; Brands, Inc.",18.37,1684634076.4,n/a,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/blmn
HOPE,"Hope Bancorp, Inc.",13.27,1680823384.35,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/hope
SWAV,"ShockWave Medical, Inc.",59.9,1677941981.3,n/a,2019,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/swav
GLNG,Golar LNG Limited,16.56,1677528000,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/glng
ATRI,Atrion Corporation,902.09,1671352660.04,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atri
PLXS,Plexus Corp.,55.33,1665716289.6,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/plxs
TSEM,Tower Semiconductor Ltd.,15.58,1656014387.62,n/a,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsem
CENT,Central Garden & Pet Company,28.41,1655559254.61,n/a,1993,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cent
WABC,Westamerica Bancorporation,61.12,1645956404.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wabc
SSRM,SSR Mining Inc.,13.52,1639295430.24,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ssrm
FTSL,First Trust Senior Loan Fund ETF,47.42,1635990094.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ftsl
SUPN,"Supernus Pharmaceuticals, Inc.",31.08,1628102427.84,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/supn
MDGL,"Madrigal Pharmaceuticals, Inc.",105.56,1627562503.84,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdgl
SAIA,"Saia, Inc.",62.82,1623589244.82,n/a,n/a,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/saia
CSGS,"CSG Systems International, Inc.",48.77,1620018547.94,n/a,1996,Technology,EDP Services,https://www.nasdaq.com/symbol/csgs
HTLF,"Heartland Financial USA, Inc.",43.99,1612887059.43,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/htlf
PSMT,"PriceSmart, Inc.",52.8,1612745481.6,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/psmt
CDNA,"CareDx, Inc.",38.2,1608980676.6,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cdna
NBTB,NBT Bancorp Inc.,36.59,1601092303.73,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbtb
MGLN,"Magellan Health, Inc.",66.48,1598435679.84,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln
GSHD,"Goosehead Insurance, Inc.",44.02,1597282295.54,n/a,2018,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/gshd
NMRK,"Newmark Group, Inc.",8.94,1596616476.18,n/a,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/nmrk
INGN,"Inogen, Inc",72.67,1593591839.19,n/a,2014,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ingn
EFII,"Electronics for Imaging, Inc.",36.86,1590313494.56,n/a,1992,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/efii
WSC,WillScot Corporation,14.49,1574964598.41,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/wsc
KALU,Kaiser Aluminum Corporation,97.46,1572472950.62,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/kalu
BOTZ,Global X Robotics & Artificial Intelligence ETF,20.63,1565716057.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/botz
AVAV,"AeroVironment, Inc.",65.24,1561348536.44,n/a,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
CRVL,CorVel Corp.,84.39,1561139386.56,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/crvl
MMYT,MakeMyTrip Limited,26.25,1557753750,n/a,2010,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mmyt
BBBY,Bed Bath & Beyond Inc.,11.77,1556382410,n/a,1992,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/bbby
FSCT,"ForeScout Technologies, Inc.",34.26,1549590591.9,n/a,2017,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/fsct
PDP,Invesco DWA Momentum ETF,61.14,1546842000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdp
SIMO,Silicon Motion Technology Corporation,42.71,1541529680.95,36092945,2005,Technology,Semiconductors,https://www.nasdaq.com/symbol/simo
VTWO,Vanguard Russell 2000 ETF,125.3,1541190000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwo
DOOO,BRP Inc.,36.23,1533020967.17,n/a,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/dooo
APLS,"Apellis Pharmaceuticals, Inc.",24.03,1519476398.28,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/apls
BCOR,"Blucora, Inc.",31.36,1517524292.48,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/bcor
VC,Visteon Corporation,53.6,1515442930.4,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/vc
MSTR,MicroStrategy Incorporated,147.89,1514331338.31,n/a,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mstr
SAFT,"Safety Insurance Group, Inc.",98.4,1513765329.6,n/a,2002,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/saft
CSII,"Cardiovascular Systems, Inc.",43.46,1513545869.72,n/a,1981,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/csii
RMR,The RMR Group Inc.,48.35,1510440123.55,n/a,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/rmr
STFC,State Auto Financial Corporation,34.79,1509999763.3,n/a,1991,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/stfc
CENTA,Central Garden & Pet Company,25.89,1508709225.69,n/a,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/centa
CHRS,"Coherus BioSciences, Inc.",21.66,1502564098.62,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/chrs
PZZA,"Papa John&#39;s International, Inc.",47.16,1498681039.68,n/a,1993,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/pzza
HTLD,"Heartland Express, Inc.",18.24,1495302523.2,n/a,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/htld
MGRC,McGrath RentCorp,61.59,1492716488.55,n/a,1984,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mgrc
SILK,"Silk Road Medical, Inc.",48.65,1492198881.25,n/a,2019,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/silk
SPWR,SunPower Corporation,10.47,1490964875.34,n/a,2005,Technology,Semiconductors,https://www.nasdaq.com/symbol/spwr
CVCO,"Cavco Industries, Inc.",163.32,1485937622.4,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/cvco
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,192.76,1484252000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/soxx
HLIO,"Helios Technologies, Inc.",46.09,1475404273.75,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/hlio
AERI,"Aerie Pharmaceuticals, Inc.",32.13,1475340006.42,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",40.48,1472149680.32,n/a,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/play
WRLD,World Acceptance Corporation,157.25,1463820122,n/a,1991,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/wrld
INVA,"Innoviva, Inc.",14.4,1458177321.6,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/inva
HUBG,"Hub Group, Inc.",41.94,1458117201.42,n/a,1996,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/hubg
KLIC,"Kulicke and Soffa Industries, Inc.",22.39,1455787254.31,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/klic
HRTX,"Heron Therapeutics, Inc.  ",18.31,1450046296.37,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/hrtx
